Instrument,Title,Composer,Number,Difficulty,Link
Band,La Volta,Byrd,17939737,1,https://www.sheetmusicplus.com/title/la-volta/17939737?aff_id=709783&utm_medium=plg
Band,Theme and Variations,Broege,17474928,1,https://www.sheetmusicplus.com/title/theme-and-variations/17474928?aff_id=709783&utm_medium=plg1
Band,Allegretto (from Symphony No. 7),Beethoven,3117457,1,https://www.sheetmusicplus.com/title/allegretto-from-symphony-no-7/3117457?aff_id=709783&utm_medium=plg1
Band,Bartok Suite,Bartok,1404118,1,https://www.sheetmusicplus.com/title/bartok-suite-from-for-children/1404118?aff_id=709783&utm_medium=plg1
Band,Folk Trilogy,Bartok,,1,https://www.jwpepper.com/Bartok-Folk-Trilogy/2264414.item#/submit
Band,Chorale & Fugue in F Major,Bach,20790447,1,https://www.sheetmusicplus.com/title/chorale-fugue-in-f-major/20790447?aff_id=709783&utm_medium=plg1
Band,Chorale and Variation,Bach,,1,https://www.jwpepper.com/Bach-Chorale-and-Variation/2298560.item#/submit
Band,Danse Pavane,Cacavas,5917291,1,https://www.sheetmusicplus.com/title/danse-pavane/5917291?aff_id=709783&utm_medium=plg1
Band,Canadian Sketches,Curnow,3116331,1,"""https://www.sheetmusicplus.com/title/canadian-sketches/3116331?aff_id=709783&utm_medium=plg1"
Band,Irish Legends,Curnow,2983183,1,https://www.sheetmusicplus.com/title/irish-legends/2983183?aff_id=709783&utm_medium=plg1
Band,Korean Folk Rhapsody,Curnow,19566710,1,https://www.sheetmusicplus.com/title/korean-folk-rhapsody/19566710?aff_id=709783&utm_medium=plg1
Band,Nottingham Castle,Daehn,17939943,1,https://www.sheetmusicplus.com/title/nottingham-castle/17939943?aff_id=709783&utm_medium=plg1